ENSG_ID	c_12h_rep2	c_12h_rep1	c_24h_rep2	c_24h_rep1	t_12h_rep1	t_12h_rep2	t_24h_rep1	t_24h_rep2
ENSG00000151532	5.266206864	5.266663628	5.244279814	5.323599736	5.40967111	5.313989126	5.376856989	5.442147475
ENSG00000151552	9.388340552	9.459611727	9.454000399	9.463073535	9.469823277	9.511069019	9.396245618	9.385934827
ENSG00000151553	6.331111981	6.355432194	6.452887025	6.530323693	6.275648012	6.105086576	6.265834856	6.357665044
ENSG00000151572	2.940808711	2.901123797	2.73410109	2.969578722	2.981178052	2.892817874	3.160790221	3.016238629
ENSG00000151575	2.814549533	2.889492821	2.817727069	2.817573287	2.856656254	2.905751994	2.756448247	2.848569371
ENSG00000151576	3.10832195	3.021564613	3.035733192	3.032688179	3.408022586	3.213003455	3.394457089	3.425330218
ENSG00000151577	3.315940413	3.304633347	3.238191362	3.233742614	3.077417486	3.254111753	3.017426853	3.28082754
ENSG00000151611	3.388701401	3.494603886	3.450487199	3.414293906	3.397692935	3.408704049	3.458231361	3.491019998
ENSG00000151612	5.13260684	5.184361466	5.114336801	5.302190112	5.075082437	5.050056702	4.97161054	5.153180804
ENSG00000151615	2.662751991	2.413379353	2.815922596	2.712495994	2.687762894	2.517029807	2.56563631	2.776804412
ENSG00000151617	3.322888115	3.40783832	3.443985981	3.397407936	3.078213327	3.114820157	3.169027367	3.307859183
ENSG00000151623	2.982440342	2.924353457	2.913105397	2.826656159	2.734507146	2.934247254	2.875525928	2.482714595
ENSG00000151631	4.105646369	4.232754916	4.153765643	4.22491577	4.258224731	4.261408669	4.414504762	4.33288258
ENSG00000151632	3.838070262	3.873292554	3.752681096	3.849269981	3.866959247	4.006589413	3.563022138	3.838410928
ENSG00000151640	4.164310077	4.200742863	4.371233393	3.872084301	4.763691926	4.290201925	4.215834953	4.414692519
ENSG00000151650	3.906073062	3.777702523	3.812279295	3.767853715	3.810851372	3.882690746	3.841106178	3.884746198
ENSG00000151651	4.662539232	4.786315865	4.665649928	4.802139008	4.691878205	4.721447363	4.723081583	4.712265857
ENSG00000151655	3.957020829	4.103786752	4.010805619	3.895556503	4.240728722	4.124825724	4.304904418	3.839045205
